"t Gyro";"abs Gyro";"t IMU";"abs IMU";"t GPS";"v GPS";"z GPS";"lat GPS";"lon GPS"
5.362854010E-1;6.878266661E-1;5.363769540E-1;9.507266888E0;1.059919137E2;8.100000381E0;2.488417358E2;5.078678848E1;6.050597210E0
5.412292480E-1;7.615538732E-1;5.412902840E-1;9.466950121E0;1.069878944E2;6.710000038E0;2.455632324E2;5.078682994E1;6.050581690E0
5.461425780E-1;8.333281866E-1;5.462341310E-1;9.403905230E0;1.079909657E2;5.869999886E0;2.447275391E2;5.078689182E1;6.050593650E0
5.510559080E-1;9.127896356E-1;5.511474610E-1;9.387975241E0;1.089889191E2;5.030000210E0;2.430421143E2;5.078694931E1;6.050599750E0
5.559692390E-1;9.975834367E-1;5.560607910E-1;9.354894538E0;1.099979356E2;4.489999771E0;2.421519775E2;5.078698241E1;6.050593220E0
5.608825690E-1;1.082591723E0;5.609741220E-1;9.204667898E0;1.109981530E2;4.510000229E0;2.415960693E2;5.078701820E1;6.050593740E0
5.657958990E-1;1.176185740E0;5.659179690E-1;9.116112977E0;1.119958008E2;4.329999924E0;2.417372437E2;5.078706319E1;6.050602340E0
5.707397460E-1;1.286757957E0;5.708312990E-1;9.050477521E0;1.129935080E2;3.670000076E0;2.410712280E2;5.078710521E1;6.050605510E0
5.756530760E-1;1.402208494E0;5.757446290E-1;8.967382120E0;1.139946904E2;3.289999962E0;2.417164917E2;5.078713154E1;6.050606880E0
5.805664070E-1;1.502585921E0;5.806579590E-1;8.927988559E0;1.149926756E2;3.369999886E0;2.416151733E2;5.078716167E1;6.050603860E0
5.854797370E-1;1.581017387E0;5.855712900E-1;8.908668619E0;1.159878762E2;3.710000038E0;2.417453003E2;5.078718892E1;6.050600420E0
5.903930670E-1;1.645266314E0;5.904846200E-1;8.955939996E0;1.169867919E2;4.440000057E0;2.423854370E2;5.078723335E1;6.050602020E0
5.953369140E-1;1.720385778E0;5.954284670E-1;9.082063843E0;1.179935709E2;4.829999924E0;2.426710815E2;5.078727757E1;6.050619910E0
6.002502440E-1;1.820197749E0;6.003417970E-1;9.168921681E0;1.189915767E2;5.519999981E0;2.420056152E2;5.078731256E1;6.050665780E0
6.051635750E-1;1.927891207E0;6.052551270E-1;9.200481307E0;1.199943021E2;6.090000153E0;2.413740845E2;5.078735109E1;6.050702270E0
6.100769050E-1;2.030579489E0;6.101684580E-1;9.232855299E0;1.209996303E2;6.219999790E0;2.412337646E2;5.078741604E1;6.050722540E0
6.149902350E-1;2.116409301E0;6.150817880E-1;9.348955436E0;1.220007244E2;6.170000076E0;2.412564697E2;5.078748607E1;6.050702680E0
6.199340820E-1;2.180587013E0;6.200256350E-1;9.383027545E0;1.229976398E2;6.489999771E0;2.391737671E2;5.078755177E1;6.050585780E0
6.248474120E-1;2.222704800E0;6.249389650E-1;9.425646969E0;1.239982745E2;5.150000095E0;2.394615479E2;5.078754912E1;6.050473450E0
6.297607420E-1;2.242460064E0;6.298522950E-1;9.427794324E0;1.249954729E2;6.980000019E0;2.412265625E2;5.078756971E1;6.050319590E0
6.346740730E-1;2.238621827E0;6.347656250E-1;9.415743780E0;1.259905057E2;1.157999992E1;2.415427856E2;5.078757514E1;6.050043520E0
6.396179200E-1;2.216920457E0;6.396789560E-1;9.520597722E0;1.270071898E2;1.405000019E1;2.426267090E2;5.078761848E1;6.049802880E0
6.445312500E-1;2.186599630E0;6.446228030E-1;9.704648222E0;1.279917125E2;1.528999996E1;2.428640137E2;5.078763731E1;6.049587310E0
6.494445800E-1;2.152283246E0;6.495361330E-1;1.000696366E1;1.289891883E2;1.543999958E1;2.429927368E2;5.078768422E1;6.049354280E0
6.543579100E-1;2.110572487E0;6.544494630E-1;1.040719935E1;1.299962211E2;1.526000023E1;2.412109375E2;5.078772003E1;6.049134250E0
6.593017580E-1;2.061549666E0;6.593627930E-1;1.064546820E1;1.309954638E2;1.506999969E1;2.419744873E2;5.078774437E1;6.048935070E0
6.642150880E-1;1.996500763E0;6.643066410E-1;1.071133613E1;1.319918240E2;1.514000034E1;2.423096313E2;5.078778502E1;6.048709240E0
6.691284180E-1;1.927485099E0;6.692199710E-1;1.073756466E1;1.330047663E2;1.505000019E1;2.422222290E2;5.078779015E1;6.048502270E0
6.740417480E-1;1.851144892E0;6.741333010E-1;1.081513058E1;1.339931810E2;1.482999992E1;2.420390625E2;5.078778396E1;6.048296090E0
6.789550780E-1;1.776216399E0;6.790466310E-1;1.091833607E1;1.349923458E2;1.481999969E1;2.441239014E2;5.078780205E1;6.048084330E0
6.838989260E-1;1.709485440E0;6.839904790E-1;1.107671401E1;1.359923214E2;1.481000042E1;2.449442139E2;5.078780369E1;6.047882530E0
6.888122560E-1;1.661110718E0;6.889038090E-1;1.126229585E1;1.369880014E2;1.467000008E1;2.456048584E2;5.078780147E1;6.047668670E0
6.937255860E-1;1.644203900E0;6.938171390E-1;1.153162607E1;1.379935043E2;1.478999996E1;2.459085693E2;5.078780646E1;6.047463960E0
6.986694340E-1;1.651678696E0;6.987304690E-1;1.186240621E1;1.389922620E2;1.493999958E1;2.469936523E2;5.078781669E1;6.047243220E0
7.035827640E-1;1.664539614E0;7.036437990E-1;1.203413675E1;1.399916751E2;1.494999981E1;2.470519409E2;5.078780888E1;6.047031390E0
7.084960940E-1;1.656715364E0;7.085876470E-1;1.215931526E1;1.410002978E2;1.472000027E1;2.490022583E2;5.078780096E1;6.046821320E0
7.134094240E-1;1.635763179E0;7.135009770E-1;1.211189200E1;1.410992669E2;0.000000000E0;0.000000000E0;5.078846890E1;6.054564800E0
7.183227540E-1;1.616059061E0;7.184143070E-1;1.182956905E1;1.419895067E2;1.469999981E1;2.502531128E2;5.078779148E1;6.046613610E0
7.232360840E-1;1.604183282E0;7.233581550E-1;1.133654766E1;1.429945035E2;1.467000008E1;2.509331665E2;5.078777387E1;6.046412470E0
7.281799320E-1;1.600262874E0;7.282714850E-1;1.062877194E1;1.439901962E2;1.438000011E1;2.518292847E2;5.078775859E1;6.046218120E0
7.330932620E-1;1.587357501E0;7.331848150E-1;1.001909453E1;1.449939897E2;1.397000027E1;2.531674805E2;5.078773220E1;6.046034760E0
7.380065920E-1;1.562934665E0;7.380981450E-1;9.723924921E0;1.459935216E2;1.393000031E1;2.540787964E2;5.078769243E1;6.045853770E0
7.429199220E-1;1.517978244E0;7.430114750E-1;9.615224199E0;1.470077517E2;1.373999977E1;2.550439453E2;5.078763894E1;6.045679960E0
7.478637700E-1;1.456952977E0;7.479248050E-1;9.660022605E0;1.479862945E2;1.356000042E1;2.553388672E2;5.078757478E1;6.045517090E0
7.527771000E-1;1.369180773E0;7.528686530E-1;9.862069941E0;1.490011780E2;1.339000034E1;2.547393188E2;5.078752584E1;6.045341080E0
7.576904300E-1;1.249575846E0;7.577819830E-1;1.012278397E1;1.499866816E2;1.322999954E1;2.549718018E2;5.078746495E1;6.045194000E0
7.626037600E-1;1.104595413E0;7.626953130E-1;1.038891104E1;1.509938210E2;1.350000000E1;2.547533569E2;5.078739673E1;6.045041060E0
7.675170900E-1;9.499691496E-1;7.676086430E-1;1.051975262E1;1.519998384E2;1.380000019E1;2.548445435E2;5.078730348E1;6.044877720E0
7.724304200E-1;8.140661560E-1;7.725524910E-1;1.094682120E1;1.529967331E2;1.368999958E1;2.555144043E2;5.078722715E1;6.044721330E0
7.773742680E-1;7.371212309E-1;7.774658210E-1;1.180518122E1;1.539990923E2;1.389999962E1;2.567447510E2;5.078713126E1;6.044585210E0
7.822875980E-1;7.522885203E-1;7.823791510E-1;1.251828018E1;1.549975275E2;1.402999973E1;2.576182861E2;5.078703125E1;6.044472770E0
7.872009280E-1;8.168866939E-1;7.872924810E-1;1.286690933E1;1.559866077E2;1.378999996E1;2.588253174E2;5.078693099E1;6.044381030E0
7.921447760E-1;9.295344805E-1;7.922058110E-1;1.302958702E1;1.569960364E2;1.409000015E1;2.596787109E2;5.078682598E1;6.044288490E0
7.970581060E-1;1.090692201E0;7.971191410E-1;1.307544056E1;1.579941342E2;1.406999969E1;2.596101685E2;5.078671405E1;6.044193930E0
8.019714360E-1;1.260937208E0;8.020629890E-1;1.298261016E1;1.589881059E2;1.414999962E1;2.598637695E2;5.078659718E1;6.044089500E0
8.068847660E-1;1.428235278E0;8.069763190E-1;1.262237073E1;1.599985419E2;1.415999985E1;2.591036987E2;5.078648451E1;6.043992220E0
8.117980960E-1;1.581506326E0;8.118896490E-1;1.210592513E1;1.609928317E2;1.421000004E1;2.591043091E2;5.078636900E1;6.043917090E0
8.167419440E-1;1.716364626E0;8.168334970E-1;1.155189022E1;1.618772669E2;0.000000000E0;2.626000061E2;5.078595460E1;6.044348200E0
8.216552740E-1;1.812421919E0;8.217468270E-1;1.119219330E1;1.619885098E2;1.436999989E1;2.603948975E2;5.078624392E1;6.043822920E0
8.265686040E-1;1.861166049E0;8.266601570E-1;1.088254071E1;1.629876247E2;1.405000019E1;2.599078369E2;5.078612991E1;6.043758560E0
8.314819340E-1;1.925333909E0;8.315734870E-1;1.054695495E1;1.639994726E2;1.402000046E1;2.599725342E2;5.078600556E1;6.043696200E0
8.363952640E-1;2.039472197E0;8.364868170E-1;1.049420580E1;1.649897561E2;1.407999992E1;2.603311157E2;5.078587781E1;6.043650640E0
8.413085940E-1;2.180923683E0;8.414306650E-1;1.075982082E1;1.660035186E2;1.400000000E1;2.601565552E2;5.078575843E1;6.043617780E0
8.462524420E-1;2.421267627E0;8.463439950E-1;1.078480813E1;1.669951920E2;1.451000023E1;2.607628174E2;5.078562501E1;6.043585730E0
8.511657720E-1;2.870886140E0;8.512573250E-1;1.119397529E1;1.679998450E2;1.467000008E1;2.600476685E2;5.078548341E1;6.043575010E0
8.561096190E-1;3.358177273E0;8.561706550E-1;1.149377261E1;1.689927881E2;1.460000038E1;2.598649902E2;5.078535504E1;6.043575790E0
8.610229500E-1;3.629502172E0;8.610839850E-1;1.126705731E1;1.699862383E2;1.468999958E1;2.597161865E2;5.078521644E1;6.043566620E0
